waveform	Acceleration_0	Acceleration_1	Acceleration_2	Acceleration_3	Acceleration_4	Acceleration_5
t0	05/11/2020  15:32:21,962829	05/11/2020  15:32:21,962829	05/11/2020  15:32:21,962829	05/11/2020  15:32:21,962829	05/11/2020  15:32:21,962829	05/11/2020  15:32:21,962829
delta t	0,000500	0,000500	0,000500	0,000500	0,000500	0,000500

time	Acceleration_0	Acceleration_1	Acceleration_2	Acceleration_3	Acceleration_4	Acceleration_5
05/11/2020  15:32:21,962829	-2,653687E-1	7,586234E-1	-2,220215E-1	3,283429E-1	1,120542E-1	-6,393946E-2
05/11/2020  15:32:21,963329	-1,411907E-1	7,424736E-2	-3,502715E-1	4,936924E-1	-2,298118E-1	6,187503E-2
05/11/2020  15:32:21,963829	-7,484555E-2	3,515583E-1	6,953882E-2	-3,140405E-1	1,620278E-2	2,860530E-2
05/11/2020  15:32:21,964329	5,433588E-2	-6,670533E-1	1,142439E-1	-9,384464E-1	2,701138E-1	1,856346E-2
05/11/2020  15:32:21,964829	4,010513E-2	-4,578400E-1	1,440255E-1	-3,518799E-1	-7,662117E-2	4,524344E-2
05/11/2020  15:32:21,965329	2,137983E-1	-7,455571E-1	-2,912508E-2	5,245063E-1	-1,015752E-1	1,881350E-1
05/11/2020  15:32:21,965829	2,108741E-1	-3,628055E-2	7,722861E-2	6,497118E-1	1,067790E-1	4,518448E-2
05/11/2020  15:32:21,966329	1,038511E-1	2,990925E-1	2,384535E-1	7,912023E-2	2,161232E-1	-9,766118E-2
05/11/2020  15:32:21,966829	2,450978E-2	5,258811E-1	2,217706E-1	-4,172239E-1	4,405259E-1	-1,414182E-1
05/11/2020  15:32:21,967329	2,416749E-1	2,346672E-1	-2,671387E-2	-2,356419E-2	4,103622E-1	-3,952594E-2
05/11/2020  15:32:21,967829	6,344827E-1	-4,138109E-1	-8,067273E-2	4,483416E-1	7,613043E-2	-5,831918E-2
05/11/2020  15:32:21,968329	5,778196E-1	-5,176506E-1	4,171221E-2	4,822808E-1	-1,990452E-1	-9,242737E-2
05/11/2020  15:32:21,968829	4,863269E-1	-4,820060E-1	2,179257E-1	2,477002E-1	-3,780156E-1	-1,478638E-1
05/11/2020  15:32:21,969329	2,899345E-2	2,892649E-1	1,393986E-1	-2,874682E-1	-4,696797E-1	-2,961324E-3
05/11/2020  15:32:21,969829	-7,005806E-3	1,558450E-1	-1,861141E-1	-4,427325E-1	-3,206371E-1	1,105711E-1
05/11/2020  15:32:21,970329	-2,177379E-1	8,716212E-1	-2,461335E-1	-4,956524E-2	-3,546671E-1	2,187387E-1
05/11/2020  15:32:21,970829	1,183857E-2	4,581994E-1	-1,543122E-1	3,176141E-1	-3,574783E-1	9,540023E-2
05/11/2020  15:32:21,971329	-1,694784E-2	9,426003E-2	-1,000275E-1	-2,219469E-1	2,352844E-1	7,240160E-2
05/11/2020  15:32:21,971829	2,677322E-1	-2,927404E-1	5,930749E-2	-1,884738E-1	4,430750E-1	1,016494E-1
05/11/2020  15:32:21,972329	1,479729E-1	4,609252E-3	1,156124E-1	-1,513436E-1	1,881745E-1	9,210536E-2
05/11/2020  15:32:21,972829	1,001472E-1	2,711331E-3	4,418859E-2	-7,406268E-2	8,810940E-2	-4,523138E-2
05/11/2020  15:32:21,973329	-5,983503E-2	3,629784E-1	1,058372E-1	4,025802E-3	1,677748E-1	-4,778605E-2
