waveform	Acceleration_0	Acceleration_1	Acceleration_2	Acceleration_3	Acceleration_4	Acceleration_5
t0	27/11/2020  14:36:36,453314	27/11/2020  14:36:36,453314	27/11/2020  14:36:36,453314	27/11/2020  14:36:36,453314	27/11/2020  14:36:36,453314	27/11/2020  14:36:36,453314
delta t	0,000500	0,000500	0,000500	0,000500	0,000500	0,000500

time	Acceleration_0	Acceleration_1	Acceleration_2	Acceleration_3	Acceleration_4	Acceleration_5
27/11/2020  14:36:36,453314	1,634383E-1	-6,677728E-2	3,119627E-1	-3,352695E-1	4,393367E-1	3,179891E-1
27/11/2020  14:36:36,453814	-3,153388E-1	7,265733E-1	1,708746E-1	-5,614039E-1	8,010755E-1	-9,618321E-2
27/11/2020  14:36:36,454314	-2,961906E-2	4,208195E-1	-1,955634E-1	2,775395E-1	-1,776220E-1	-2,058209E-1
27/11/2020  14:36:36,454814	3,522070E-1	2,006151E-1	-2,848431E-1	1,129328E+0	-6,327710E-1	1,151155E-1
27/11/2020  14:36:36,455314	2,776092E-1	3,921381E-2	-2,247797E-2	7,677220E-1	-3,291523E-1	1,678118E-1
27/11/2020  14:36:36,455814	6,215515E-1	-4,085071E-1	3,808449E-1	-2,091886E-1	3,625462E-1	-1,863182E-1
27/11/2020  14:36:36,456314	9,063615E-1	-5,123923E-1	3,116368E-1	-4,068649E-1	2,452351E-1	-3,230841E-1
27/11/2020  14:36:36,456814	4,181623E-1	4,284176E-1	-1,017219E-1	2,078560E-1	-4,786384E-1	-5,948562E-2
27/11/2020  14:36:36,457314	3,143882E-1	7,321565E-1	-1,079780E-1	4,158760E-1	-6,071049E-1	1,658811E-1
27/11/2020  14:36:36,457814	4,578004E-1	2,768329E-2	1,336426E-2	-3,566114E-1	5,724302E-1	-4,049000E-2
27/11/2020  14:36:36,458314	2,273142E-1	2,066339E-1	-6,926838E-2	9,723217E-2	4,903746E-2	3,427056E-1
