waveform	Force_0	Force_1
t0	15/01/2021  11:49:29,786399	15/01/2021  11:49:29,786399
delta t	0,000500	0,000500

time	Force_0	Force_1
15/01/2021  11:49:29,786399	-1,503399E+3	3,270440E+1
15/01/2021  11:49:29,786899	-4,217448E+1	3,138688E+1
15/01/2021  11:49:29,787399	1,368633E+3	3,014687E+1
15/01/2021  11:49:29,787899	3,585748E+3	2,842993E+1
15/01/2021  11:49:29,788399	4,998744E+3	2,671895E+1
15/01/2021  11:49:29,788899	4,998744E+3	2,376796E+1
15/01/2021  11:49:29,789399	4,998744E+3	2,517490E+1
15/01/2021  11:49:29,789899	4,998744E+3	2,471585E+1
15/01/2021  11:49:29,790399	4,998744E+3	2,274256E+1
15/01/2021  11:49:29,790899	4,998744E+3	2,453700E+1
15/01/2021  11:49:29,791399	4,813501E+3	2,473970E+1
15/01/2021  11:49:29,791899	4,998744E+3	2,400046E+1
15/01/2021  11:49:29,792399	3,798665E+3	2,374411E+1
15/01/2021  11:49:29,792899	-4,010008E+2	2,769069E+1
15/01/2021  11:49:29,793399	-4,594651E+3	2,803646E+1
15/01/2021  11:49:29,793899	-5,001483E+3	2,940763E+1
15/01/2021  11:49:29,794399	-5,001483E+3	2,957456E+1
15/01/2021  11:49:29,794899	-5,001483E+3	2,875186E+1
15/01/2021  11:49:29,795399	-5,001483E+3	3,595943E+1
15/01/2021  11:49:29,795899	-5,001483E+3	3,604885E+1
15/01/2021  11:49:29,796399	-5,001483E+3	3,624559E+1
15/01/2021  11:49:29,796899	-5,001483E+3	3,746772E+1
15/01/2021  11:49:29,797399	-5,001483E+3	3,755714E+1
15/01/2021  11:49:29,797899	-5,001483E+3	3,996563E+1
15/01/2021  11:49:29,798399	-5,001483E+3	3,978678E+1
15/01/2021  11:49:29,798899	-5,001483E+3	3,998351E+1
15/01/2021  11:49:29,799399	-4,462270E+3	4,011467E+1
15/01/2021  11:49:29,799899	-2,207346E+3	3,919658E+1
15/01/2021  11:49:29,800399	1,567660E+3	4,053198E+1
15/01/2021  11:49:29,800899	3,233355E+3	3,783733E+1
15/01/2021  11:49:29,801399	4,280472E+3	3,772406E+1
15/01/2021  11:49:29,801899	4,998744E+3	3,526788E+1
15/01/2021  11:49:29,802399	3,170372E+3	3,682386E+1
15/01/2021  11:49:29,802899	7,331106E+2	3,457634E+1
15/01/2021  11:49:29,803399	-2,186299E+3	3,518442E+1
15/01/2021  11:49:29,803899	-4,035810E+3	3,440941E+1
15/01/2021  11:49:29,804399	-5,001483E+3	3,561366E+1
15/01/2021  11:49:29,804899	-5,001483E+3	3,604885E+1
15/01/2021  11:49:29,805399	-4,018785E+3	3,474326E+1
15/01/2021  11:49:29,805899	-2,600262E+3	3,539308E+1
15/01/2021  11:49:29,806399	-1,139565E+3	3,674040E+1
15/01/2021  11:49:29,806899	2,645443E+2	3,638867E+1
15/01/2021  11:49:29,807399	1,576655E+3	3,998947E+1
15/01/2021  11:49:29,807899	3,888078E+3	3,902965E+1
15/01/2021  11:49:29,808399	4,998744E+3	4,275565E+1
15/01/2021  11:49:29,808899	4,998744E+3	4,269604E+1
15/01/2021  11:49:29,809399	4,998744E+3	3,900581E+1
15/01/2021  11:49:29,809899	4,998744E+3	3,958408E+1
15/01/2021  11:49:29,810399	4,998744E+3	4,227276E+1
15/01/2021  11:49:29,810899	4,998744E+3	3,821292E+1
15/01/2021  11:49:29,811399	4,998744E+3	3,936947E+1
15/01/2021  11:49:29,811899	4,998744E+3	3,870177E+1
15/01/2021  11:49:29,812399	4,558649E+3	4,125929E+1
15/01/2021  11:49:29,812899	6,228818E+2	4,007890E+1
15/01/2021  11:49:29,813399	-3,564260E+3	3,469557E+1
15/01/2021  11:49:29,813899	-5,001483E+3	3,672252E+1
15/01/2021  11:49:29,814399	-5,001483E+3	3,802811E+1
15/01/2021  11:49:29,814899	-5,001483E+3	3,821888E+1
15/01/2021  11:49:29,815399	-5,001483E+3	4,044852E+1
15/01/2021  11:49:29,815899	-5,001483E+3	3,752137E+1
15/01/2021  11:49:29,816399	-5,001483E+3	3,908331E+1
15/01/2021  11:49:29,816899	-5,001483E+3	3,814138E+1
15/01/2021  11:49:29,817399	-5,001483E+3	3,573289E+1
15/01/2021  11:49:29,817899	-5,001483E+3	3,795657E+1
15/01/2021  11:49:29,818399	-5,001483E+3	3,684771E+1
15/01/2021  11:49:29,818899	-5,001483E+3	3,583424E+1
15/01/2021  11:49:29,819399	-4,420331E+3	3,100534E+1
15/01/2021  11:49:29,819899	-2,202270E+3	3,046880E+1
15/01/2021  11:49:29,820399	1,149203E+3	2,503182E+1
